# SERVED MODEL: claude-opus-5-5 — X.W12.u1 disposition of the UIA-V rows on palettes/browse/tag/version/flag/migrate pages (10 pages). Columns: id sev page owner disposition. RESIDUE-U1 = honest-RED id: consumer row not cured by .u1, routed to .u3's supplement.
UIA-V-24	BROKEN	palettes-view	GLASS+CONSUMER	bed4ce3a+67c4f29a (consumer) · O-59 (glass: WatercolorDot no passthrough contract)
UIA-V-25	BROKEN	palettes-view	CONSUMER	67c4f29a
UIA-V-26	BROKEN	palettes-view	CONSUMER	2ff95e51
UIA-V-27	BROKEN	palettes-view	CONSUMER	67c4f29a
UIA-V-28	BROKEN	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-29	BROKEN	palette-card-menu	GLASS+CONSUMER	O-59 + RESIDUE-U1
UIA-V-30	BROKEN	browse-view	CONSUMER	RESIDUE-U1
UIA-V-31	BROKEN	browse-view	CONSUMER	RESIDUE-U1
UIA-V-32	BROKEN	browse-search-filter	GLASS+CONSUMER	O-59 + RESIDUE-U1
UIA-V-33	BROKEN	browse-search-filter	CONSUMER	RESIDUE-U1
UIA-V-34	BROKEN	tag-edit-popover	GLASS+CONSUMER	O-59 + RESIDUE-U1
UIA-V-35	BROKEN	tag-edit-popover	CONSUMER	2753482a
UIA-V-36	BROKEN	version-history-drawer	CONSUMER	c8c5a4aa
UIA-V-37	BROKEN	version-history-drawer	CONSUMER	a658d2c4
UIA-V-38	BROKEN	version-history-drawer	CONSUMER	RESIDUE-U1
UIA-V-39	BROKEN	flag-report-dialog	CONSUMER	360bd254
UIA-V-96	HIGH	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-97	HIGH	palettes-view	GLASS+CONSUMER	O-59 + RESIDUE-U1
UIA-V-98	HIGH	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-99	HIGH	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-100	HIGH	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-101	HIGH	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-102	HIGH	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-103	HIGH	palettes-view	CONSUMER	bed4ce3a+67c4f29a
UIA-V-104	HIGH	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-105	HIGH	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-106	HIGH	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-107	HIGH	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-108	HIGH	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-109	HIGH	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-110	HIGH	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-111	HIGH	palette-scene-actions	CONSUMER	RESIDUE-U1
UIA-V-112	HIGH	palette-card-menu	GLASS+CONSUMER	O-59 + RESIDUE-U1
UIA-V-113	HIGH	palette-card-menu	GLASS+CONSUMER	O-59 + RESIDUE-U1
UIA-V-114	HIGH	palettes-delete-all-dialog	GLASS	O-59
UIA-V-115	HIGH	palettes-delete-all-dialog	GLASS	O-59
UIA-V-116	HIGH	browse-view	CONSUMER	RESIDUE-U1
UIA-V-117	HIGH	browse-view	CONSUMER	RESIDUE-U1
UIA-V-118	HIGH	browse-view	CONSUMER	RESIDUE-U1
UIA-V-119	HIGH	browse-view	CONSUMER	RESIDUE-U1
UIA-V-120	HIGH	browse-search-filter	CONSUMER	RESIDUE-U1
UIA-V-121	HIGH	browse-search-filter	CONSUMER	RESIDUE-U1
UIA-V-122	HIGH	browse-search-filter	CONSUMER	RESIDUE-U1
UIA-V-123	HIGH	browse-search-filter	CONSUMER	RESIDUE-U1
UIA-V-124	HIGH	tag-edit-popover	CONSUMER	RESIDUE-U1
UIA-V-125	HIGH	tag-edit-popover	CONSUMER	RESIDUE-U1
UIA-V-126	HIGH	version-history-drawer	CONSUMER	RESIDUE-U1
UIA-V-127	HIGH	version-history-drawer	CONSUMER	RESIDUE-U1
UIA-V-128	HIGH	version-history-drawer	CONSUMER	RESIDUE-U1
UIA-V-129	HIGH	version-history-drawer	CONSUMER	RESIDUE-U1
UIA-V-130	HIGH	flag-report-dialog	CONSUMER	5e0be623
UIA-V-131	HIGH	flag-report-dialog	CONSUMER	RESIDUE-U1
UIA-V-132	HIGH	migrate-palettes-dialog	CONSUMER	5e0be623
UIA-V-133	HIGH	migrate-palettes-dialog	CONSUMER	RESIDUE-U1
UIA-V-273	MEDIUM	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-274	MEDIUM	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-275	MEDIUM	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-276	MEDIUM	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-277	MEDIUM	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-278	MEDIUM	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-279	MEDIUM	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-280	MEDIUM	palettes-view	CONSUMER	RESIDUE-U1
UIA-V-281	MEDIUM	palette-scene-actions	CONSUMER	RESIDUE-U1
