# SERVED MODEL: claude-opus-5-5 — X.W12.u2 disposition of the UIA-V rows on extract/mix/generate/gradient/gradient-easing-authoring/atmosphere pages (6 pages). Columns: id sev page owner disposition. RESIDUE-U2 = honest-RED id: consumer row (or half) not cured by .u2, routed to .u3's supplement. O-59 = glass relay X-ALL-BK-UI-AUDIT.md (every GLASS/GLASS+CONSUMER row below is present there).
UIA-V-40	BROKEN	mix-view	CONSUMER	e7f2e5e4
UIA-V-41	BROKEN	generate-view	CONSUMER	b2548908+728b6d36
UIA-V-42	BROKEN	generate-view	CONSUMER	c85ae287
UIA-V-43	BROKEN	generate-view	CONSUMER	e7f2e5e4 (Mix half; palette-card half = .u1 67c4f29a)
UIA-V-44	BROKEN	gradient-view	GLASS+CONSUMER	b6efe950 (consumer) · O-59 (glass: SelectTrigger value span cannot shrink)
UIA-V-45	BROKEN	gradient-view	CONSUMER	82516588
UIA-V-46	BROKEN	atmosphere-view	GLASS	O-59
UIA-V-134	HIGH	extract-view	CONSUMER	RESIDUE-U2
UIA-V-135	HIGH	extract-view	CONSUMER	RESIDUE-U2
UIA-V-136	HIGH	mix-view	GLASS	O-59
UIA-V-137	HIGH	mix-view	CONSUMER	c911941a (section heads) · RESIDUE-U2 (LabeledField label rung: glass 7.0.0 exposes no label-size prop)
UIA-V-138	HIGH	mix-view	CONSUMER	RESIDUE-U2
UIA-V-139	HIGH	mix-view	GLASS	O-59
UIA-V-140	HIGH	mix-view	CONSUMER	R-5 HOLD (COHESION §0ci: glass stays 7.0.0 until X-W7L)
UIA-V-141	HIGH	generate-view	CONSUMER	RESIDUE-U2
UIA-V-142	HIGH	generate-view	CONSUMER	RESIDUE-U2
UIA-V-143	HIGH	gradient-view	CONSUMER	RESIDUE-U2
UIA-V-144	HIGH	gradient-view	GLASS+CONSUMER	O-59 + RESIDUE-U2
UIA-V-145	HIGH	gradient-view	CONSUMER	6a264f01
UIA-V-146	HIGH	gradient-view	CONSUMER	RESIDUE-U2
UIA-V-147	HIGH	gradient-view	CONSUMER	316c8058
UIA-V-148	HIGH	gradient-easing-authoring	GLASS+CONSUMER	O-59 + RESIDUE-U2
UIA-V-149	HIGH	gradient-easing-authoring	GLASS+CONSUMER	O-59 + RESIDUE-U2
