source_kind	source_ref	line_or_index	sha256	author	disposition	note
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L24#A01	c3c2b7c58949ab696f90e0bdfd5d0655feb24c4ba0cc4d383b7591b5c44d20ee	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L25#A02	f31ce5a6679512050ef6e68be1ed46500ceac1e8ce79d331501154746bd37c89	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L26#A03	83c036cff525ec1ad47385eb6351823b54de8d087dcb6fd0196ef09694b9e8b2	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L27#A04	01914f7e761f8a7fbe0b1072f65652ca8790c19fbbd5633839fe6c465879b541	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L28#A05	8ce926673faa9ccf224d27918ea7e56b41e7faf02a24df44ea3ff406af9d7f68	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L29#A06	bdf302117335a868ae2908c3da0f418e3902b1551925707a6f718e4dc7d6d61b	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L30#A07	7bf7d351f7fcf9f5d03bf2ddc2bfe63b3e5ee1830764388ea0cf05aa7532e5a1	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L31#A08	c74231a73d5aa272ea7d9009621c7fe4d505b6331cae963a37dba0706a76e1bf	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L32#A09	c2c8c0992890ae59ec58b35438c682039d184110125b2baa36a533192e1c9467	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
FINDINGS_ROW	docs/tranches/V/apotheosis/pi/formation/session-audit/FINDINGS.md	L33#A10	2343137ef715bdd515585bbf43f67123b767c52dbbd13e7242e5a792e9ddf0a0	handoff-author	OPEN	section=A provisional=ACCEPTED_FACT skeleton-default: unadjudicated
