# SERVED MODEL: claude-opus-5-5 — X.W12U.s1 disposition slice (182 supplement rows, .s1 pages). Built by build-s1.py.
id	sev	page	owner	s1_disposition	evidence_or_route	title
UIA-V-2	BROKEN	home-picker	GLASS+CONSUMER	CURED-AT-HEAD	W12U-evidence/s/probe-space-select (360/390/430/1440 inside the 16 px gutter) ×2 · glass half O-59 (relayed)	Space-select popover overflows the viewport at 390 (right border and selected row clipped)
UIA-V-3	BROKEN	home-picker	CONSUMER	DEDUPE A2-VA-L1-2 → .k	1440 half GREEN ×2 at HEAD (probe-condense: page no longer scrolls at 1440); the 390 half (never condenses) is the useHeaderCondense retirement onto glass CardHeader shrink	Header condense is inverted: it fires at 1440 over the sliders and never at 390
UIA-V-6	BROKEN	dock-main	GLASS+CONSUMER	CURED 7af81708	W12U-evidence/s/probe-seal HEAD RED → GREEN light+dark · also A2-VA-L1-20 (seal ink; cited) · glass half O-59 (relayed)	Collapsed wax seal carries no view glyph (and no admin gold ink) because WatercolorDot 7.0.0 has no default slot
UIA-V-8	BROKEN	dock-main	CONSUMER	CURED-AT-HEAD	W12U-evidence/s/probe-dock-bar V-8/V-10 arm (GREEN at HEAD bytes) ×2	390 action-bar layer overflows the 312px dock: the colour-input control is clipped by the plate cap
UIA-V-9	BROKEN	dock-action-bar-color	CONSUMER	CURED ba88c558	W12U-evidence/s/probe-dock-bar HEAD RED → GREEN light+dark · also A2-VA-X-13	At 390px, input and propose modes scroll the Back button and the arm toggle out of the dock
UIA-V-10	BROKEN	dock-action-bar-color	CONSUMER	CURED-AT-HEAD	W12U-evidence/s/probe-dock-bar V-8/V-10 arm (GREEN at HEAD bytes); = A2-VA-L2-7 (folded) ×2	At 390px the actions layer clips the 'Open color input' toggle 24px past the dock edge
UIA-V-11	BROKEN	dock-color-input	CONSUMER	CURED-AT-HEAD	W12U-evidence/s/probe-dock-bar V-11 arm, 1440 (dock holds open; GREEN at HEAD bytes) ×2	Opening the color input collapses the dock to the swatch orb and leaves the 'Enter a color' popover floating on its own
UIA-V-12	BROKEN	dock-color-input	CONSUMER	CURED f9e1ab74	W12U-evidence/s/probe-color-input HEAD RED → GREEN light+dark	A successful propose leaves the toolbar in propose mode and fills the name field with the CSS color string
UIA-V-13	BROKEN	dock-color-input	CONSUMER	CURED 3c415667	W12U-evidence/s/probe-color-input HEAD RED → GREEN light+dark	Invalid-parse feedback is transient and swallowed: pressing Enter again on the same invalid text does nothing, and the error clears after 2 s while the bad text stays
UIA-V-14	BROKEN	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug A HEAD RED → GREEN light+dark	A failed slug login is silent: the 404/409/429 copy goes to a ref that is never bound
